trade_id,asset,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
75,ADA,LONG,2024-07-16 02:00:00+00:00,2024-07-16 03:00:00+00:00,0.4474,0.44764381736907516,1h,181,0.9787699580192566,0.9453840851783752,5,2500.0,0.43429285712316634,ADAPTIVE_TRAIL_HIT,1,1.0,0.2725,6.81,0.9789
76,ADA,LONG,2024-07-16 03:00:00+00:00,2024-07-16 04:00:00+00:00,0.4517,0.44800122515154395,1h,182,0.9791185855865479,0.9462933540344238,5,2500.0,0.43798571396693586,ADAPTIVE_TRAIL_HIT,1,1.0,-4.0943,-102.36,0.9789
77,AVAX,LONG,2024-07-16 12:00:00+00:00,2024-07-16 13:00:00+00:00,27.1,27.216160985824555,1h,114,0.9059667587280273,0.9099826812744141,3,1500.0,26.13035715222359,ADAPTIVE_TRAIL_HIT,1,1.0,1.2859,19.29,0.9068
78,SOL,LONG,2024-07-16 12:00:00+00:00,2024-07-16 13:00:00+00:00,155.84,157.2370375790006,1h,105,0.9708781838417053,0.9548263549804688,5,2500.0,150.24714299678803,ADAPTIVE_TRAIL_HIT,1,1.0,4.4823,112.06,0.9707
79,AVAX,LONG,2024-07-16 13:00:00+00:00,2024-07-16 14:00:00+00:00,27.31,27.24612531070557,1h,115,0.907812237739563,0.9089349508285522,3,1500.0,26.28142857313156,ADAPTIVE_TRAIL_HIT,1,1.0,-0.7017,-10.52,0.9093
80,SOL,LONG,2024-07-16 13:00:00+00:00,2024-07-16 14:00:00+00:00,155.62,157.38738776705827,1h,106,0.9708554744720459,0.9535130858421326,5,2500.0,150.0164284658432,ADAPTIVE_TRAIL_HIT,1,1.0,5.6785,141.96,0.9707
81,AVAX,LONG,2024-07-16 14:00:00+00:00,2024-07-17 11:00:00+00:00,27.64,28.2230471359398,1h,116,0.9102919101715088,0.9097683429718018,3,1500.0,26.59178571343422,ADAPTIVE_TRAIL_HIT,21,21.0,6.3283,94.92,0.9153
82,SOL,LONG,2024-07-16 14:00:00+00:00,2024-07-16 15:00:00+00:00,155.91,157.71823536890486,1h,107,0.9709081053733826,0.9523263573646545,5,2500.0,150.40821412563324,ADAPTIVE_TRAIL_HIT,1,1.0,5.799,144.97,0.9714
83,SOL,LONG,2024-07-16 15:00:00+00:00,2024-07-16 21:00:00+00:00,160.98,159.63958810019523,1h,108,0.9715401530265808,0.9534101486206055,5,2500.0,154.6532143163681,ADAPTIVE_TRAIL_HIT,6,6.0,-4.1633,-104.08,0.9729
84,ATOM,LONG,2024-07-17 00:00:00+00:00,2024-07-17 16:00:00+00:00,6.686,6.518613209818375,1h,200,0.922370195388794,0.8862094283103943,3,1500.0,6.475642859250307,ADAPTIVE_TRAIL_HIT,16,16.0,-7.5106,-112.66,0.9208
85,ICP,LONG,2024-07-17 04:00:00+00:00,2024-07-17 05:00:00+00:00,9.818,9.9563042071488,1h,130,0.9553869366645813,0.9706092476844788,5,1875.0,9.351571414649486,ADAPTIVE_TRAIL_HIT,1,1.0,7.0434,132.06,0.956
86,ICP,LONG,2024-07-17 05:00:00+00:00,2024-07-17 07:00:00+00:00,10.001,10.013074944682536,1h,131,0.956181526184082,0.9712299704551697,5,1875.0,9.516714272856712,ADAPTIVE_TRAIL_HIT,2,2.0,0.6037,11.32,0.9576
87,ICP,LONG,2024-07-17 07:00:00+00:00,2024-07-17 08:00:00+00:00,10.018,10.031941590560603,1h,133,0.9578388929367065,0.9724264740943909,5,1875.0,9.492464282393456,ADAPTIVE_TRAIL_HIT,1,1.0,0.6958,13.05,0.9584
88,UNI,SHORT,2024-07-18 14:00:00+00:00,2024-07-18 21:00:00+00:00,7.867,7.809375999079908,1h,39,0.8841395974159241,0.8291289210319519,2,1000.0,8.099857149094344,ADAPTIVE_TRAIL_HIT,7,7.0,1.465,14.65,0.8876
89,SOL,LONG,2024-07-19 12:00:00+00:00,2024-07-19 13:00:00+00:00,163.85,164.4842392661633,1h,190,0.9369157552719116,0.9080996513366699,3,1500.0,157.69999990463256,ADAPTIVE_TRAIL_HIT,1,1.0,1.1613,17.42,0.9376
90,SOL,LONG,2024-07-19 13:00:00+00:00,2024-07-20 09:00:00+00:00,167.04,168.39146377809635,1h,191,0.937879741191864,0.9095388054847717,3,1500.0,160.1364285135269,ADAPTIVE_TRAIL_HIT,20,20.0,2.4272,36.41,0.9413
91,THETA,LONG,2024-07-19 16:00:00+00:00,2024-07-19 16:35:00+00:00,1.557,1.558656672343815,5m,75,0.9434290528297424,0.9154056310653687,3,1500.0,1.5387857146263122,ADAPTIVE_TRAIL_HIT,7,0.58,0.3192,4.79,0.948
92,THETA,LONG,2024-07-19 17:00:00+00:00,2024-07-19 17:05:00+00:00,1.561,1.5637829788797808,5m,87,0.9604195356369019,0.9279084801673889,5,2500.0,1.547071428284049,ADAPTIVE_TRAIL_HIT,1,0.08,0.8914,22.29,0.961
93,THETA,LONG,2024-07-19 18:00:00+00:00,2024-07-19 18:05:00+00:00,1.569,1.5725965826598143,5m,101,0.9649144411087036,0.9234687685966492,5,2500.0,1.556857142696157,ADAPTIVE_TRAIL_HIT,1,0.08,1.1461,28.65,0.9658
94,THETA,LONG,2024-07-19 19:00:00+00:00,2024-07-19 19:30:00+00:00,1.585,1.5893332031113752,30m,20,0.9715737700462341,0.9572625160217285,5,2500.0,1.54249999769032,ADAPTIVE_TRAIL_HIT,1,0.5,1.3669,34.17,0.971
95,THETA,LONG,2024-07-20 13:00:00+00:00,2024-07-20 13:30:00+00:00,1.592,1.6030771408202587,30m,93,0.9248533844947815,0.9386631846427917,3,1500.0,1.5664642851874233,ADAPTIVE_TRAIL_HIT,1,0.5,2.0874,31.31,0.9226
96,THETA,LONG,2024-07-20 14:00:00+00:00,2024-07-20 19:00:00+00:00,1.612,1.6233087076572543,1h,48,0.926582932472229,0.9369244575500488,3,1500.0,1.5709285720139743,ADAPTIVE_TRAIL_HIT,5,5.0,2.1046,31.57,0.9306
97,THETA,LONG,2024-07-21 00:00:00+00:00,2024-07-21 00:30:00+00:00,1.635,1.6402104394712307,30m,115,0.9538642168045044,0.9625137448310852,5,2500.0,1.6053571433201432,ADAPTIVE_TRAIL_HIT,1,0.5,1.5934,39.84,0.9525
98,THETA,LONG,2024-07-21 01:00:00+00:00,2024-07-21 04:00:00+00:00,1.653,1.651084505479307,1h,60,0.9544234871864319,0.9636302590370178,5,2500.0,1.5983571438789368,ADAPTIVE_TRAIL_HIT,3,3.0,-0.5794,-14.48,0.9565
99,AVAX,LONG,2024-07-21 12:00:00+00:00,2024-07-21 12:15:00+00:00,29.46,29.432269675904895,5m,64,0.9575151801109314,0.8302531242370605,5,2500.0,29.15464285299182,ADAPTIVE_TRAIL_HIT,3,0.25,-0.4706,-11.77,0.958
100,AVAX,LONG,2024-07-21 13:00:00+00:00,2024-07-21 14:00:00+00:00,29.18,29.283515664034443,1h,71,0.936176061630249,0.9471282362937927,3,1500.0,28.381785698533058,ADAPTIVE_TRAIL_HIT,1,1.0,1.0642,15.96,0.9295
